ID,Name,Date,Distance (km),Duration (minutes),Moving Time (minutes),Elevation Gain (m),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Max Heart Rate,Calories
5438616313,Morning Run,2025-06-09T04:12:02Z,5.94,31.63,31.28,14.5,11.38,23.76,185,195,
5410058022,Morning Run,2025-06-04T04:01:17Z,5.44,28.55,27.3,8.7,11.43,19.08,181.5,194,
5338600724,ON!!! 🏃🏼,2025-05-22T11:19:03Z,10.87,57.98,56.38,12.3,11.57,24.84,175.7,190,
5318613419,Afternoon Run,2025-05-18T14:52:31Z,21.33,140.47,124.9,28.6,9.11,17.28,173.8,185,
5308183138,Afternoon Run,2025-05-16T15:34:35Z,5.27,27.83,27.57,5,11.48,28.8,173.2,186,
5265591263,Morning Run,2025-05-09T06:30:20Z,10.1,58.92,55.28,45.1,10.97,21.6,169.7,186,
5244146742,Morning Run,2025-05-05T04:29:26Z,5.1,27.72,27.12,17.8,11.29,18.36,180.5,191,
5236296129,Afternoon Run,2025-05-03T15:11:52Z,6.5,34.15,32.42,48.2,12.03,19.8,176.8,192,
5221552162,Morning Run,2025-05-01T07:44:54Z,7.07,37.43,37.37,9.9,11.35,19.08,175.8,186,
5176329874,Morning Run,2025-04-23T07:57:17Z,5.28,27.6,27,8.3,11.74,21.6,176.8,187,
5146852493,"Trail popri Svratke na Anthropos, a nazad po chodniku okolo vystaviska 🤟🏿",2025-04-18T08:46:49Z,7.26,43.03,39.95,28.3,10.9,18.72,178.5,189,
5137137392,Afternoon Run,2025-04-16T15:05:50Z,5.87,31.37,30.3,8.7,11.63,20.16,178.4,188,
5100244187,Chill,2025-04-10T08:05:04Z,10.44,56.98,54.92,60.5,11.41,19.44,175.8,183,
5082977941,Morning Run,2025-04-07T05:17:46Z,6.17,34.68,33.02,14.8,11.21,18,177.7,190,
5069042128,Oddychovka s Vráťom,2025-04-04T15:36:13Z,7.23,47.32,42.75,32.4,10.15,16.2,174.3,188,
5053283252,Morning Run,2025-04-02T06:07:25Z,6.72,36.52,35.72,7.2,11.29,21.96,178.6,190,
5016711787,Evening Run,2025-03-26T17:09:33Z,5.47,30,28.57,8.7,11.49,25.56,180.9,194,
4897966731,Morning Run,2025-03-06T08:17:33Z,7.51,38.93,38.2,12.5,11.79,23.76,179.5,186,
4888722950,Afternoon Run,2025-03-04T12:34:24Z,5.84,30.25,29.45,16.5,11.89,21.24,176.7,188,
4877146578,Afternoon Run,2025-03-02T12:57:29Z,10.41,57,55,11.1,11.35,24.84,174.3,180,
4863121669,Morning Run,2025-02-28T08:05:48Z,5.34,28.88,28.48,5.8,11.08,17.28,167.3,179,
4857132503,Morning Run,2025-02-27T09:03:49Z,8.03,42.08,41.1,12.9,11.72,18.72,179.6,203,
4830553691,Afternoon Run,2025-02-22T15:21:01Z,7.51,41.05,37.93,45.6,11.88,30.96,179.6,191,
4796546580,Afternoon Run,2025-02-16T14:19:10Z,5.53,28.95,27.95,5.7,11.88,25.92,174.9,182,
4783946549,Anthropos cez Červený kopec,2025-02-14T07:22:58Z,6.93,41.05,38.43,105.9,10.81,20.16,173.1,189,
4774292141,Morning Run,2025-02-12T09:39:51Z,6.44,35.17,33.18,46.6,11.65,18,172.8,183,
4765765566,Afternoon Run,2025-02-10T15:09:13Z,10.11,55.67,53.62,19.4,11.31,21.6,175.5,183,
4739043322,Afternoon Run,2025-02-05T15:01:19Z,7.11,38.97,36.17,10,11.8,21.6,175.6,184,
4722193826,Afternoon Run,2025-02-02T13:59:22Z,7.28,41.43,37.37,48.4,11.69,19.44,178,187,
4708867177,Morning Run,2025-01-31T07:53:18Z,6.52,36.4,35.45,12.3,11.04,20.16,172.2,182,
4679234139,S Igorom okolo výstaviska,2025-01-25T14:27:19Z,7.58,46.88,38.53,17.7,11.8,29.16,179.7,190,
4665658645,IKEA (nahovno terén),2025-01-23T07:34:36Z,8.09,48.15,44.23,8.4,10.97,15.48,181.7,189,
4665659570,Ku Rišovi do potoka,2025-01-23T07:05:54Z,0.77,4.27,4.2,0,10.96,15.84,164.3,177,
4658034899,Afternoon Run,2025-01-21T16:42:55Z,7.68,44.2,42.23,10.2,10.91,19.08,178.9,185,
4646976883,Afternoon Run,2025-01-19T15:00:21Z,7.34,42.87,37.93,11,11.61,18.72,178,189,
4606903198,Morning Run,2025-01-12T05:17:10Z,5.39,29.8,28.37,10.6,11.39,18.72,175.9,183,
4590356469,Morning Run,2025-01-09T08:33:08Z,10.32,58.6,55.42,35.2,11.17,20.88,176.4,184,
4577545683,Prší - neprší... Idem!!! 🤣,2025-01-06T15:40:53Z,8.51,46.47,44.98,29.4,11.35,20.52,180.9,190,
4558083078,Cez Lužánky okolo centra,2025-01-03T06:45:29Z,7.32,41.47,40.88,47.1,10.74,19.08,180.9,191,
4548631550,Novoročné kolečko,2025-01-01T13:08:55Z,6.49,34.75,33.58,26.4,11.59,25.56,177.5,190,
